temperature,Voltage,power_usage,battery_health,uptime,site_type,location_type,energy_efficiency
33.2,238.14,1502.0,89.85,17,Ground,Rural,93.13
33.6,242.06,1536.0,89.81,18,Ground,Rural,91.3
39.6,244.79,1888.0,81.48,19,Rooftop,Urban,80.89
36.6,239.27,3090.0,74.95,20,Rooftop,Urban,64.47
43.6,243.22,754.0,94.01,21,Ground,Urban,93.15
29.5,238.68,348.0,96.96,22,Ground,Urban,100.0
41.1,242.74,394.0,96.36,23,Rooftop,Urban,98.14
36.7,245.23,386.0,97.34,24,Rooftop,Urban,100.0
39.5,239.72,5422.0,46.24,1,Ground,Rural,30.42
27.4,240.28,1936.0,81.66,2,Rooftop,Rural,79.43
37.5,240.03,2344.0,85.41,3,Ground,Urban,78.9
26.7,239.26,1360.0,86.66,4,Rooftop,Urban,100.0
31.6,240.32,320.0,98.16,5,Ground,Urban,100.0
33.4,236.85,1280.0,87.56,6,Rooftop,Rural,86.37
37.1,233.69,1252.0,87.68,7,Ground,Rural,90.17
32.8,241.2,226.0,98.69,8,Ground,Rural,100.0
36.5,237.78,1326.0,90.79,9,Rooftop,Urban,90.16
36.2,235.42,1682.0,85.76,10,Rooftop,Rural,82.16
38.9,234.43,3254.0,67.24,11,Ground,Rural,59.61
40.5,240.51,644.0,95.99,12,Rooftop,Urban,94.22
40.3,238.88,180.0,98.17,13,Ground,Urban,100.0
37.8,237.05,3542.0,67.57,14,Rooftop,Rural,58.64
39.7,237.53,332.0,97.2,15,Rooftop,Urban,99.33
38.3,243.94,208.0,98.02,16,Ground,Urban,98.18
42.0,235.6,232.0,98.52,17,Ground,Urban,100.0
39.7,244.48,328.0,97.24,18,Ground,Rural,97.31
33.8,244.16,300.0,97.01,19,Ground,Urban,100.0
31.6,237.78,1448.0,88.08,20,Ground,Urban,93.98
40.9,237.15,2674.0,79.23,21,Ground,Rural,64.54
35.0,240.76,1506.0,88.1,22,Ground,Rural,87.75
33.3,242.31,1324.0,88.33,23,Ground,Rural,92.38
32.5,237.65,2056.0,81.04,24,Ground,Urban,78.33
35.3,236.36,1312.0,88.1,1,Ground,Urban,84.95
26.1,236.13,230.0,97.67,2,Rooftop,Rural,100.0
33.7,244.55,264.0,98.4,3,Ground,Urban,100.0
38.4,243.48,344.0,97.58,4,Rooftop,Rural,100.0
35.8,235.65,2032.0,87.96,5,Rooftop,Rural,83.67
29.6,239.23,2102.0,86.68,6,Rooftop,Urban,86.42
43.5,239.91,774.0,90.79,7,Rooftop,Urban,90.04
29.5,241.03,464.0,96.85,8,Rooftop,Rural,100.0
34.7,244.0,328.0,97.91,9,Rooftop,Urban,96.74
28.0,244.56,556.0,95.32,10,Rooftop,Urban,100.0
36.9,239.99,676.0,95.57,11,Rooftop,Rural,91.87
37.2,237.68,382.0,95.72,12,Ground,Rural,100.0
40.1,239.52,1392.0,87.73,13,Rooftop,Rural,83.12
38.9,250.84,424.0,96.24,14,Rooftop,Rural,100.0
34.7,243.95,368.0,96.3,15,Rooftop,Urban,100.0
31.6,241.31,238.0,98.19,16,Ground,Urban,100.0
29.2,243.07,270.0,98.03,17,Rooftop,Urban,100.0
35.0,240.03,1828.0,87.71,18,Ground,Rural,85.07
29.4,247.01,1412.0,90.43,19,Ground,Urban,91.88
33.6,237.65,318.0,97.36,20,Ground,Urban,100.0
40.0,246.28,284.0,97.36,21,Ground,Rural,100.0
35.8,241.45,1310.0,86.88,22,Ground,Urban,91.17
34.5,242.58,432.0,96.9,23,Rooftop,Urban,100.0
33.0,237.44,3450.0,68.05,24,Ground,Urban,59.14
32.6,238.91,954.0,90.61,1,Rooftop,Urban,94.82
34.4,238.34,1668.0,87.94,2,Rooftop,Rural,86.71
40.4,241.52,254.0,98.27,3,Ground,Urban,99.72
30.8,241.28,680.0,94.4,4,Ground,Urban,100.0
37.6,235.51,2934.0,77.28,5,Rooftop,Urban,67.49
44.7,239.88,1414.0,88.49,6,Ground,Rural,84.93
37.9,241.45,320.0,96.89,7,Rooftop,Urban,99.88
33.6,239.73,1300.0,89.34,8,Ground,Urban,90.35
34.9,237.24,2096.0,80.34,9,Ground,Urban,80.73
39.2,243.12,300.0,96.6,10,Rooftop,Urban,100.0
35.0,240.18,370.0,97.14,11,Rooftop,Rural,100.0
40.8,244.61,2336.0,79.4,12,Ground,Urban,72.03
38.1,243.01,444.0,97.56,13,Ground,Urban,100.0
32.3,237.8,1452.0,86.16,14,Ground,Urban,91.07
39.1,247.29,252.0,98.74,15,Ground,Urban,100.0
35.3,245.1,224.0,98.17,16,Rooftop,Rural,100.0
36.1,241.91,572.0,94.06,17,Rooftop,Urban,100.0
29.4,244.03,220.0,97.59,18,Rooftop,Rural,100.0
33.1,243.86,1518.0,84.76,19,Ground,Urban,86.59
35.1,239.16,1284.0,88.36,20,Ground,Urban,91.72
33.0,241.02,1414.0,89.94,21,Ground,Rural,94.31
36.6,238.06,1578.0,84.57,22,Rooftop,Rural,87.02
26.6,243.17,1870.0,82.27,23,Ground,Rural,87.65
35.9,240.9,3724.0,72.7,24,Ground,Urban,57.68
35.6,232.77,1436.0,89.37,1,Ground,Rural,89.18
41.3,238.41,1518.0,90.51,2,Rooftop,Rural,84.12
28.0,240.18,2564.0,79.85,3,Rooftop,Rural,76.92
39.2,236.52,5148.0,63.79,4,Ground,Rural,43.45
31.0,238.07,1418.0,86.52,5,Rooftop,Urban,85.96
40.9,239.88,1788.0,86.91,6,Ground,Rural,78.64
37.1,244.86,1994.0,88.73,7,Rooftop,Rural,77.42
49.5,236.68,602.0,93.95,8,Rooftop,Urban,89.61
35.9,241.29,252.0,97.58,9,Ground,Urban,100.0
39.3,241.51,894.0,94.56,10,Rooftop,Urban,93.93
27.1,240.55,1316.0,86.73,11,Rooftop,Urban,95.17
35.6,242.85,1096.0,91.33,12,Rooftop,Urban,94.51
41.3,240.31,198.0,97.77,13,Ground,Urban,100.0
37.8,237.04,286.0,97.95,14,Ground,Rural,97.71
42.4,243.28,268.0,97.52,15,Rooftop,Rural,95.4
31.5,238.19,3378.0,77.4,16,Ground,Rural,61.25
36.3,241.44,222.0,98.54,17,Rooftop,Urban,100.0
46.1,242.39,3012.0,76.68,18,Ground,Rural,59.53
31.8,241.35,1638.0,91.08,19,Ground,Rural,90.63
48.5,240.9,364.0,97.48,20,Ground,Urban,94.95
37.3,243.31,554.0,95.43,21,Rooftop,Urban,99.4
31.2,241.36,348.0,98.17,22,Ground,Rural,100.0
27.1,237.01,2196.0,82.96,23,Ground,Urban,82.26
30.3,245.56,342.0,98.3,24,Ground,Urban,100.0
32.7,240.66,822.0,94.63,1,Rooftop,Rural,95.17
28.5,234.8,358.0,96.9,2,Rooftop,Rural,100.0
36.8,244.03,216.0,98.31,3,Rooftop,Urban,100.0
34.8,246.44,1518.0,87.72,4,Rooftop,Rural,87.79
26.9,241.32,370.0,96.45,5,Ground,Rural,100.0
35.8,241.54,324.0,96.78,6,Rooftop,Rural,100.0
45.3,236.93,3260.0,74.2,7,Rooftop,Rural,57.5
44.9,239.33,1282.0,89.32,8,Ground,Rural,85.15
36.4,243.54,394.0,96.26,9,Ground,Rural,100.0
39.0,239.24,1450.0,85.59,10,Ground,Urban,85.42
34.9,242.67,220.0,98.26,11,Rooftop,Rural,100.0
35.1,241.3,156.0,99.01,12,Ground,Rural,100.0
43.8,234.38,3810.0,70.73,13,Ground,Urban,48.93
39.5,234.08,1406.0,90.12,14,Ground,Urban,82.05
41.8,240.87,1506.0,91.09,15,Ground,Rural,79.43
31.4,242.59,448.0,96.27,16,Rooftop,Urban,100.0
38.5,236.49,2324.0,75.79,17,Rooftop,Urban,72.55
39.0,243.33,476.0,96.88,18,Ground,Rural,95.5
36.1,244.33,264.0,98.19,19,Rooftop,Rural,98.79
41.0,240.84,258.0,97.0,20,Rooftop,Rural,95.7
39.1,249.0,226.0,97.96,21,Ground,Urban,100.0
46.3,241.46,2648.0,71.7,22,Ground,Urban,62.09
44.9,239.7,1658.0,83.37,23,Ground,Urban,80.76
39.9,244.19,606.0,96.15,24,Rooftop,Rural,93.78
37.1,242.85,374.0,98.08,1,Rooftop,Urban,100.0
30.4,238.33,416.0,96.91,2,Rooftop,Urban,100.0
44.1,242.05,1186.0,86.76,3,Rooftop,Urban,80.79
35.6,242.76,464.0,95.65,4,Ground,Urban,100.0
36.6,238.21,1978.0,85.69,5,Rooftop,Rural,85.19
36.0,241.24,1538.0,84.65,6,Ground,Rural,80.68
35.4,243.06,354.0,96.38,7,Ground,Rural,99.55
37.3,244.26,436.0,97.03,8,Rooftop,Rural,100.0
35.5,242.47,294.0,97.66,9,Rooftop,Urban,97.99
27.9,239.87,1634.0,87.45,10,Ground,Urban,89.69
37.6,243.79,466.0,97.49,11,Ground,Urban,97.9
38.3,234.93,1344.0,92.48,12,Ground,Rural,93.74
38.4,241.83,216.0,98.5,13,Rooftop,Rural,100.0
42.8,237.89,230.0,97.75,14,Rooftop,Rural,99.84
32.9,242.41,1412.0,87.58,15,Rooftop,Rural,90.09
42.1,240.69,224.0,97.43,16,Rooftop,Rural,95.43
35.6,239.87,2138.0,82.37,17,Ground,Urban,82.45
35.1,243.37,264.0,98.19,18,Rooftop,Rural,100.0
34.8,240.56,242.0,97.14,19,Ground,Urban,100.0
42.6,245.26,320.0,97.51,20,Ground,Urban,98.97
41.7,234.71,338.0,96.61,21,Rooftop,Urban,97.36
39.8,242.78,4046.0000000000005,72.06,22,Rooftop,Urban,49.03
48.1,238.66,3340.0,68.92,23,Rooftop,Rural,60.02
28.7,232.12,1316.0,92.68,24,Rooftop,Rural,95.47
35.9,243.84,378.0,97.22,1,Ground,Urban,95.32
32.3,242.14,1396.0,89.25,2,Ground,Urban,88.15
32.7,240.87,426.0,95.05,3,Rooftop,Rural,100.0
33.7,246.43,668.0,95.52,4,Rooftop,Rural,96.23
31.9,240.64,378.0,97.39,5,Rooftop,Urban,100.0
38.0,238.81,2194.0,83.92,6,Rooftop,Urban,77.25
34.5,239.64,1326.0,91.17,7,Rooftop,Urban,92.64
29.7,239.29,1622.0,87.56,8,Ground,Rural,86.5
27.3,238.5,628.0,95.83,9,Rooftop,Urban,100.0
41.0,241.18,114.0,99.15,10,Ground,Urban,100.0
32.5,238.91,1086.0,93.23,11,Rooftop,Rural,92.84
34.8,245.63,436.0,96.03,12,Ground,Urban,99.93
41.4,235.51,3208.0,80.01,13,Rooftop,Rural,67.08
33.8,242.41,2958.0,69.68,14,Rooftop,Urban,64.16
34.7,244.63,388.0,96.88,15,Ground,Rural,100.0
36.3,241.23,1470.0,90.17,16,Rooftop,Rural,87.02
31.2,239.96,1992.0,88.54,17,Rooftop,Urban,83.08
35.1,236.8,218.0,98.72,18,Rooftop,Rural,98.98
38.8,238.24,1340.0,87.78,19,Ground,Rural,90.15
42.3,241.43,2646.0,81.71,20,Ground,Urban,65.05
31.0,241.95,130.0,99.02,21,Ground,Urban,100.0
39.1,241.77,306.0,97.21,22,Ground,Urban,100.0
35.4,237.18,2526.0,73.93,23,Rooftop,Rural,71.75
37.3,241.08,2206.0,89.14,24,Rooftop,Urban,85.49
40.4,239.96,1470.0,88.05,1,Ground,Rural,89.64
42.3,242.72,1338.0,92.14,2,Rooftop,Urban,84.0
25.9,238.19,4718.0,62.98,3,Rooftop,Urban,47.38
31.2,235.58,1398.0,88.92,4,Rooftop,Urban,95.1
37.5,245.18,1512.0,92.0,5,Ground,Rural,83.43
25.2,245.11,1260.0,87.49,6,Ground,Urban,98.66
44.0,243.03,288.0,96.64,7,Rooftop,Urban,98.17
28.6,237.66,308.0,96.49,8,Rooftop,Rural,100.0
30.9,242.96,582.0,94.53,9,Ground,Rural,100.0
35.7,240.46,110.0,99.26,10,Ground,Rural,100.0
39.8,247.65,544.0,95.03,11,Ground,Urban,96.09
35.1,236.7,104.0,99.07,12,Rooftop,Rural,99.97
29.0,241.93,1434.0,90.47,13,Ground,Urban,94.77
35.6,243.77,464.0,96.7,14,Ground,Urban,100.0
29.0,243.77,156.0,98.04,15,Rooftop,Rural,100.0
35.6,236.79,310.0,98.11,16,Ground,Urban,100.0
41.4,242.14,306.0,98.5,17,Ground,Rural,100.0
36.4,240.21,332.0,97.47,18,Ground,Urban,100.0
44.3,248.8,350.0,96.98,19,Rooftop,Urban,100.0
41.9,241.83,332.0,97.11,20,Rooftop,Urban,99.96
37.4,240.18,2980.0,72.07,21,Ground,Urban,68.82
30.2,235.23,1260.0,92.58,22,Ground,Urban,92.86
44.6,240.14,188.0,98.28,23,Ground,Urban,100.0
34.8,242.92,2762.0,77.2,24,Rooftop,Rural,69.91
36.5,243.03,318.0,98.27,1,Ground,Rural,98.27
36.8,240.63,222.0,98.5,2,Ground,Rural,98.9
39.6,242.66,354.0,96.61,3,Rooftop,Urban,99.66
27.4,245.67,250.0,98.28,4,Ground,Rural,100.0
31.5,240.18,1496.0,89.24,5,Ground,Rural,87.84
33.3,233.79,1560.0,84.16,6,Ground,Rural,82.8
40.7,246.08,1480.0,89.83,7,Ground,Rural,80.51
31.2,237.54,1608.0,91.6,8,Ground,Urban,88.2
37.7,243.42,222.0,97.68,9,Ground,Urban,100.0
33.8,241.27,336.0,96.88,10,Rooftop,Urban,99.19
29.9,241.31,1530.0,90.04,11,Rooftop,Urban,88.98
21.6,237.79,1514.0,89.21,12,Ground,Rural,90.35
39.0,232.41,1640.0,87.87,13,Rooftop,Rural,84.22
25.2,249.34,386.0,96.42,14,Rooftop,Rural,100.0
34.7,241.45,336.0,97.62,15,Rooftop,Rural,99.48
39.2,235.72,3248.0,71.36,16,Rooftop,Urban,59.9
35.3,244.72,1316.0,87.88,17,Rooftop,Rural,91.61
27.1,239.24,1422.0,89.18,18,Ground,Rural,94.72
34.1,244.52,934.0,93.22,19,Ground,Urban,100.0
34.6,239.79,1866.0,84.16,20,Rooftop,Rural,75.08
24.5,241.36,280.0,97.53,21,Ground,Rural,100.0
33.1,241.73,466.0,95.26,22,Ground,Urban,100.0
32.6,239.76,1328.0,89.06,23,Ground,Urban,90.3
28.6,235.27,1222.0,90.39,24,Ground,Urban,98.91
40.0,242.45,254.0,97.09,1,Ground,Urban,100.0
31.0,239.31,300.0,97.59,2,Rooftop,Rural,100.0
37.5,240.29,3600.0,69.87,3,Rooftop,Rural,57.82
31.9,237.75,1894.0,80.66,4,Rooftop,Rural,82.41
32.7,241.27,920.0,94.59,5,Rooftop,Rural,97.81
36.4,245.49,398.0,96.33,6,Ground,Rural,100.0
41.9,236.75,284.0,97.24,7,Ground,Rural,98.79
27.6,243.03,164.0,99.2,8,Rooftop,Rural,100.0
33.1,235.83,4232.0,70.78,9,Rooftop,Urban,58.01
37.8,242.99,1462.0,90.32,10,Rooftop,Rural,79.75
32.1,240.06,1462.0,90.08,11,Rooftop,Urban,85.43
30.6,240.55,1448.0,87.4,12,Rooftop,Rural,87.55
34.0,241.05,1034.0,90.3,13,Rooftop,Rural,93.79
34.6,240.31,1348.0,86.61,14,Rooftop,Rural,84.15
36.8,241.4,500.0,97.23,15,Rooftop,Urban,98.76
35.7,243.75,2462.0,79.6,16,Rooftop,Urban,77.36
29.2,240.17,240.0,98.25,17,Rooftop,Urban,100.0
49.4,243.29,598.0,95.46,18,Ground,Urban,89.38
39.9,244.57,224.0,98.42,19,Rooftop,Rural,99.13
33.7,238.52,2224.0,84.25,20,Rooftop,Urban,82.41
36.8,240.99,1362.0,92.09,21,Rooftop,Rural,93.23
30.6,242.32,368.0,96.45,22,Rooftop,Urban,100.0
37.4,239.81,338.0,96.37,23,Ground,Urban,97.3
33.5,237.72,1824.0,88.28,24,Rooftop,Rural,86.08
30.6,244.23,194.0,97.63,1,Ground,Urban,100.0
42.7,246.35,1420.0,85.68,2,Rooftop,Rural,81.07
40.6,242.36,412.0,96.16,3,Rooftop,Rural,100.0
37.8,244.67,334.0,96.69,4,Rooftop,Urban,100.0
41.8,234.68,174.0,98.29,5,Ground,Rural,100.0
31.6,243.74,1312.0,91.16,6,Rooftop,Rural,89.97
44.5,241.24,238.0,97.72,7,Ground,Urban,97.55
29.7,244.21,1418.0,87.18,8,Rooftop,Urban,88.33
30.9,239.39,210.0,98.79,9,Ground,Rural,100.0
39.7,239.09,3810.0,62.61,10,Rooftop,Rural,54.0
27.5,241.59,82.0,99.62,11,Ground,Urban,100.0
43.8,243.56,354.0,96.67,12,Ground,Urban,93.1
36.2,238.23,2748.0,72.4,13,Rooftop,Rural,70.79
30.3,243.04,2198.0,80.88,14,Rooftop,Urban,82.54
30.8,242.2,216.0,98.0,15,Ground,Urban,100.0
30.4,241.02,292.0,97.86,16,Rooftop,Urban,100.0
38.3,242.44,1816.0,87.65,17,Rooftop,Rural,83.08
31.7,243.19,836.0,95.53,18,Rooftop,Urban,100.0
41.4,242.94,320.0,97.43,19,Ground,Urban,100.0
41.8,240.87,2304.0,86.9,20,Ground,Rural,69.96
32.5,238.7,1442.0,86.4,21,Ground,Rural,89.13
31.8,234.97,1494.0,88.85,22,Ground,Urban,90.78
36.9,238.73,1874.0,86.77,23,Ground,Rural,83.3
33.9,246.15,308.0,98.32,24,Rooftop,Urban,100.0
32.1,239.01,236.0,97.79,1,Ground,Rural,100.0
29.0,240.31,220.0,98.54,2,Rooftop,Rural,100.0
36.6,244.6,280.0,98.0,3,Rooftop,Urban,100.0
38.5,244.25,254.0,97.97,4,Ground,Rural,100.0
30.0,237.82,2432.0,76.3,5,Ground,Urban,78.75
34.4,239.49,2482.0,77.89,6,Rooftop,Rural,77.65
37.6,240.32,296.0,97.29,7,Ground,Urban,97.7
27.6,241.03,2013.9999999999998,84.92,8,Rooftop,Rural,84.84
40.4,235.22,1492.0,87.11,9,Rooftop,Rural,82.68
27.3,239.31,2606.0,79.64,10,Rooftop,Urban,76.01
41.8,240.75,220.0,97.99,11,Ground,Urban,100.0
38.7,250.0,1366.0,92.81,12,Rooftop,Rural,92.7
25.7,241.33,424.0,95.44,13,Rooftop,Rural,100.0
35.9,240.51,234.0,97.88,14,Ground,Urban,100.0
27.8,241.39,194.0,98.55,15,Rooftop,Urban,100.0
39.2,241.77,294.0,98.09,16,Ground,Urban,99.42
37.0,237.92,376.0,96.27,17,Rooftop,Rural,99.92
38.9,237.68,196.0,98.63,18,Ground,Urban,100.0
30.1,238.84,1378.0,88.61,19,Rooftop,Rural,97.35
34.6,238.26,3316.0,81.84,20,Ground,Urban,63.62
35.4,239.85,684.0,93.11,21,Rooftop,Urban,98.08
38.3,241.86,1886.0,84.79,22,Rooftop,Urban,80.04
24.4,240.69,282.0,98.1,23,Ground,Urban,100.0
33.2,239.02,398.0,97.39,24,Ground,Urban,98.36
28.7,244.46,272.0,97.35,1,Rooftop,Urban,100.0
34.3,241.59,2266.0,82.61,2,Ground,Rural,75.09
39.9,237.54,3938.0,78.91,3,Rooftop,Rural,54.96
30.0,241.41,2628.0,81.53,4,Rooftop,Rural,73.0
32.1,240.14,2652.0,84.28,5,Rooftop,Urban,81.55
36.6,247.08,2054.0,85.08,6,Ground,Urban,79.21
27.4,236.28,4476.0,66.33,7,Ground,Urban,50.81
37.9,241.14,558.0,94.14,8,Rooftop,Rural,99.02
31.2,238.97,476.0,95.78,9,Rooftop,Rural,100.0
28.4,239.07,312.0,98.14,10,Ground,Rural,100.0
43.2,242.31,680.0,96.12,11,Ground,Urban,91.99
34.9,240.86,282.0,98.45,12,Ground,Urban,100.0
32.9,242.78,336.0,97.03,13,Rooftop,Urban,100.0
37.1,239.99,162.0,98.76,14,Ground,Rural,100.0
38.5,240.09,1822.0,85.0,15,Ground,Rural,82.19
40.4,247.83,1370.0,91.98,16,Rooftop,Rural,88.97
35.3,245.56,480.0,96.71,17,Rooftop,Rural,100.0
41.2,239.45,2182.0,85.98,18,Ground,Urban,77.47
31.0,233.4,1348.0,87.95,19,Ground,Urban,94.71
34.4,242.96,354.0,96.84,20,Ground,Urban,100.0
32.4,242.11,320.0,98.24,21,Ground,Rural,100.0
38.1,236.76,1254.0,92.92,22,Ground,Urban,90.6
39.9,239.3,1606.0,87.6,23,Rooftop,Urban,81.63
35.1,238.93,324.0,98.28,24,Ground,Urban,100.0
34.8,239.68,2094.0,81.6,1,Ground,Urban,85.19
32.7,236.28,2370.0,79.77,2,Rooftop,Rural,78.55
33.6,238.4,1478.0,90.79,3,Ground,Urban,91.7
46.4,238.5,1194.0,88.73,4,Rooftop,Rural,85.69
34.9,240.03,1444.0,92.6,5,Ground,Urban,93.4
36.8,246.57,1368.0,89.73,6,Ground,Rural,87.49
35.5,239.11,820.0,92.08,7,Ground,Rural,95.01
30.7,244.11,324.0,96.74,8,Ground,Rural,100.0
32.8,242.66,276.0,98.26,9,Ground,Rural,100.0
42.3,240.22,234.0,98.68,10,Ground,Urban,97.0
35.1,239.03,426.0,95.36,11,Rooftop,Rural,100.0
35.1,240.05,1560.0,91.71,12,Rooftop,Urban,89.46
33.0,242.82,770.0,95.59,13,Rooftop,Rural,100.0
41.7,243.86,396.0,96.25,14,Ground,Rural,94.81
31.1,240.74,2724.0,74.4,15,Ground,Rural,70.29
34.9,244.16,198.0,98.25,16,Ground,Rural,100.0
28.1,229.89,1258.0,92.99,17,Ground,Rural,93.92
35.5,242.19,704.0,95.11,18,Ground,Rural,100.0
36.3,239.85,340.0,97.39,19,Ground,Rural,97.63
32.8,241.19,1498.0,88.47,20,Rooftop,Rural,88.72
39.7,239.63,1288.0,92.18,21,Rooftop,Urban,93.58
34.4,242.13,432.0,97.44,22,Ground,Rural,100.0
42.8,232.43,5916.0,45.04,23,Ground,Rural,25.07
41.2,235.89,222.0,98.27,24,Rooftop,Rural,100.0
27.0,238.6,3544.0,66.98,1,Rooftop,Rural,61.04
31.0,242.67,292.0,97.35,2,Rooftop,Urban,100.0
32.9,234.55,2518.0,73.09,3,Ground,Urban,73.86
27.9,239.15,298.0,97.52,4,Rooftop,Urban,100.0
32.1,243.65,324.0,98.04,5,Rooftop,Urban,100.0
34.6,243.98,526.0,95.77,6,Rooftop,Rural,99.61
24.5,241.06,578.0,94.9,7,Ground,Rural,100.0
36.3,241.14,1312.0,93.27,8,Rooftop,Urban,87.85
35.4,240.72,1926.0,90.17,9,Ground,Urban,82.11
37.7,239.67,810.0,90.36,10,Ground,Urban,90.25
44.5,238.72,1352.0,89.09,11,Ground,Rural,85.7
37.5,239.58,1374.0,87.83,12,Ground,Urban,91.23
32.3,240.68,1314.0,92.13,13,Ground,Rural,90.14
36.3,235.87,1402.0,87.88,14,Rooftop,Urban,87.5
34.9,236.34,3896.0,60.37,15,Ground,Urban,55.06
33.7,246.55,218.0,98.65,16,Ground,Rural,100.0
38.6,244.61,314.0,96.62,17,Rooftop,Urban,90.91
33.4,243.83,380.0,96.47,18,Ground,Urban,100.0
31.5,244.31,322.0,97.35,19,Rooftop,Rural,100.0
33.9,247.12,332.0,97.72,20,Rooftop,Rural,100.0
38.7,238.8,2520.0,84.9,21,Rooftop,Rural,69.78
22.6,240.5,750.0,96.11,22,Rooftop,Rural,100.0
32.7,231.79,3092.0,76.68,23,Ground,Urban,68.08
32.1,237.19,420.0,94.92,24,Rooftop,Urban,96.03
33.0,241.05,488.0,95.44,1,Ground,Rural,98.81
30.5,242.43,648.0,94.65,2,Rooftop,Urban,100.0
38.2,240.62,210.0,98.27,3,Ground,Rural,100.0
40.2,238.64,1260.0,91.06,4,Ground,Rural,89.69
32.5,246.99,272.0,97.19,5,Ground,Urban,100.0
37.8,241.48,1504.0,86.85,6,Ground,Urban,83.4
25.3,246.53,390.0,97.12,7,Rooftop,Rural,100.0
33.6,239.91,1956.0,85.14,8,Rooftop,Urban,81.16
33.5,241.74,360.0,97.04,9,Rooftop,Urban,97.48
38.2,238.6,998.0,90.45,10,Ground,Urban,88.13
31.8,244.84,1948.0,86.45,11,Ground,Rural,84.1
30.1,240.76,136.0,98.79,12,Rooftop,Rural,100.0
35.3,241.55,532.0,97.08,13,Rooftop,Rural,100.0
31.0,244.32,366.0,96.74,14,Ground,Rural,100.0
36.2,246.94,378.0,96.84,15,Rooftop,Urban,99.3
32.7,242.71,360.0,98.07,16,Rooftop,Rural,100.0
30.0,238.36,3020.0,83.82,17,Rooftop,Urban,67.85
30.1,239.55,136.0,99.0,18,Rooftop,Urban,100.0
31.5,243.62,324.0,97.48,19,Rooftop,Urban,100.0
25.2,242.74,1426.0,89.45,20,Ground,Urban,92.57
40.4,237.63,476.0,96.43,21,Ground,Rural,100.0
27.8,241.05,1504.0,86.9,22,Ground,Urban,91.94
36.6,250.11,264.0,97.51,23,Ground,Rural,100.0
33.3,242.15,188.0,98.42,24,Ground,Rural,100.0
38.6,236.01,3200.0,70.34,1,Rooftop,Rural,64.05
39.8,241.02,256.0,97.4,2,Rooftop,Rural,100.0
33.1,239.85,1578.0,90.91,3,Rooftop,Rural,86.36
40.7,240.88,1572.0,88.46,4,Ground,Urban,84.43
31.8,240.51,206.0,98.47,5,Rooftop,Urban,100.0
30.8,240.42,1292.0,87.26,6,Ground,Urban,89.27
34.7,236.65,3446.0,72.42,7,Rooftop,Rural,60.25
34.9,239.65,1352.0,89.28,8,Ground,Rural,91.13
34.3,240.95,252.0,98.05,9,Ground,Rural,100.0
28.4,244.63,350.0,98.23,10,Rooftop,Rural,100.0
36.2,243.0,320.0,97.9,11,Ground,Rural,97.94
37.7,243.05,1418.0,89.52,12,Rooftop,Rural,88.1
34.2,238.52,1408.0,88.81,13,Rooftop,Urban,83.32
34.7,238.87,604.0,96.41,14,Ground,Urban,96.67
34.7,239.92,1302.0,89.79,15,Ground,Rural,84.89
34.2,239.92,292.0,98.03,16,Rooftop,Rural,100.0
38.0,243.87,1550.0,85.51,17,Ground,Urban,84.98
32.9,241.51,232.0,97.97,18,Rooftop,Urban,99.55
40.7,240.94,264.0,98.12,19,Rooftop,Rural,100.0
43.1,240.89,204.0,98.14,20,Ground,Urban,97.99
38.4,240.67,358.0,96.34,21,Rooftop,Rural,97.97
33.8,242.83,1488.0,88.14,22,Rooftop,Rural,88.67
42.7,241.82,1342.0,86.51,23,Rooftop,Rural,82.06
34.5,242.16,1172.0,88.25,24,Ground,Urban,92.51
30.2,240.95,1358.0,89.93,1,Ground,Rural,92.17
33.2,243.34,446.0,96.71,2,Ground,Rural,100.0
41.7,244.43,362.0,96.41,3,Ground,Rural,100.0
34.7,242.91,250.0,97.66,4,Rooftop,Urban,100.0
28.0,238.97,156.0,98.76,5,Rooftop,Urban,100.0
37.0,243.98,336.0,98.07,6,Rooftop,Rural,100.0
44.2,241.28,1598.0,88.7,7,Rooftop,Urban,81.73
35.9,240.82,414.0,96.29,8,Rooftop,Urban,100.0
34.1,243.91,210.0,98.45,9,Rooftop,Rural,99.28
39.9,245.29,458.0,97.56,10,Rooftop,Rural,93.45
32.9,243.44,1116.0,89.23,11,Ground,Rural,96.3
37.8,241.47,156.0,98.74,12,Rooftop,Urban,100.0
34.0,241.04,2148.0,82.75,13,Rooftop,Urban,80.56
39.9,238.41,1340.0,87.33,14,Rooftop,Urban,82.63
31.9,237.01,2552.0,77.79,15,Rooftop,Urban,72.06
32.7,241.6,200.0,98.3,16,Ground,Rural,100.0
34.9,236.57,2045.9999999999998,77.33,17,Ground,Rural,75.67
32.8,244.39,464.0,95.05,18,Rooftop,Urban,100.0
40.5,240.87,2162.0,82.98,19,Rooftop,Urban,71.99
43.9,238.88,2262.0,76.52,20,Rooftop,Urban,65.26
28.3,242.66,494.0,97.07,21,Ground,Rural,100.0
32.8,239.15,2020.0,81.83,22,Ground,Rural,86.1
36.9,239.7,1692.0,90.41,23,Ground,Rural,81.03
33.7,234.17,1296.0,86.71,24,Ground,Rural,86.22
38.7,235.39,2282.0,78.51,1,Ground,Rural,74.86
39.7,240.06,1270.0,88.14,2,Rooftop,Urban,86.72
35.4,239.57,1128.0,92.7,3,Ground,Urban,93.28
